"","X","station","variable","method","coefficient","p","df","lon","lat","season","var","significance","data","country"
"12394",2348,14,"avg_temp.ANN","Bias",-0.130118205480975,NA,NA,126.8833,41.7833,"ANN","avg_temp",NA,"ERA5","gts"
"13704",19417,14,"avg_temp.DJF","Bias",0.213836934432307,NA,NA,126.8833,41.7833,"DJF","avg_temp",NA,"JRA55","gts"
"13724",21417,14,"avg_temp.JJA","Bias",0.0211443723394882,NA,NA,126.8833,41.7833,"JJA","avg_temp",NA,"JRA55","gts"
"12364",2048,14,"avg_temp.MAM","Bias",-0.204725632295579,NA,NA,126.8833,41.7833,"MAM","avg_temp",NA,"ERA5","gts"
"13734",22417,14,"avg_temp.SON","Bias",-0.332283546953304,NA,NA,126.8833,41.7833,"SON","avg_temp",NA,"JRA55","gts"
"16449",23919,14,"pre.ANN","Bias",-0.0149069294330769,NA,NA,126.8833,41.7833,"ANN","pre",NA,"CRU","gts"
"15059",19918,14,"pre.DJF","Bias",-0.140595835006412,NA,NA,126.8833,41.7833,"DJF","pre",NA,"NCEP2","gts"
"12379",21916,14,"pre.JJA","Bias",0.342264098918672,NA,NA,126.8833,41.7833,"JJA","pre",NA,"ERA5","gts"
"16419",20919,14,"pre.MAM","Bias",-0.00433331429963926,NA,NA,126.8833,41.7833,"MAM","pre",NA,"CRU","gts"
"16439",22919,14,"pre.SON","Bias",-0.23367700170662,NA,NA,126.8833,41.7833,"SON","pre",NA,"CRU","gts"
"12444",2948,16,"avg_temp.ANN","Bias",0.177379462555725,NA,NA,128.1667,41.4,"ANN","avg_temp",NA,"ERA5","gts"
"13754",25417,16,"avg_temp.DJF","Bias",-0.0232620162274329,NA,NA,128.1667,41.4,"DJF","avg_temp",NA,"JRA55","gts"
"12424",27416,16,"avg_temp.JJA","Bias",-0.536983483926089,NA,NA,128.1667,41.4,"JJA","avg_temp",NA,"ERA5","gts"
"12414",2648,16,"avg_temp.MAM","Bias",-0.0757130665416281,NA,NA,128.1667,41.4,"MAM","avg_temp",NA,"ERA5","gts"
"12434",28416,16,"avg_temp.SON","Bias",0.266141382772119,NA,NA,128.1667,41.4,"SON","avg_temp",NA,"ERA5","gts"
"15149",29918,16,"pre.ANN","Bias",0.359349783105326,NA,NA,128.1667,41.4,"ANN","pre",NA,"NCEP2","gts"
"12409",25916,16,"pre.DJF","Bias",-0.0902866683975206,NA,NA,128.1667,41.4,"DJF","pre",NA,"ERA5","gts"
"15129",27918,16,"pre.JJA","Bias",0.337951432517084,NA,NA,128.1667,41.4,"JJA","pre",NA,"NCEP2","gts"
"13769",26917,16,"pre.MAM","Bias",-0.108995759979372,NA,NA,128.1667,41.4,"MAM","pre",NA,"JRA55","gts"
"16489",28919,16,"pre.SON","Bias",-0.094283312459074,NA,NA,128.1667,41.4,"SON","pre",NA,"CRU","gts"
"13844",35410,20,"avg_temp.ANN","Bias",0.443427845314668,NA,NA,126.6,40.9667,"ANN","avg_temp",NA,"JRA55","gts"
"13804",31417,20,"avg_temp.DJF","Bias",0.789165839360222,NA,NA,126.6,40.9667,"DJF","avg_temp",NA,"JRA55","gts"
"13824",33417,20,"avg_temp.JJA","Bias",0.413713961919161,NA,NA,126.6,40.9667,"JJA","avg_temp",NA,"JRA55","gts"
"16514",32412,20,"avg_temp.MAM","Bias",-0.0769548468932245,NA,NA,126.6,40.9667,"MAM","avg_temp",NA,"CRU","gts"
"12484",34416,20,"avg_temp.SON","Bias",0.55775597224733,NA,NA,126.6,40.9667,"SON","avg_temp",NA,"ERA5","gts"
"15199",35918,20,"pre.ANN","Bias",0.163229216259284,NA,NA,126.6,40.9667,"ANN","pre",NA,"NCEP2","gts"
"15159",31918,20,"pre.DJF","Bias",-0.190815891700231,NA,NA,126.6,40.9667,"DJF","pre",NA,"NCEP2","gts"
"13829",33917,20,"pre.JJA","Bias",0.351732455066779,NA,NA,126.6,40.9667,"JJA","pre",NA,"JRA55","gts"
"15169",32918,20,"pre.MAM","Bias",0.105116234247648,NA,NA,126.6,40.9667,"MAM","pre",NA,"NCEP2","gts"
"15189",34918,20,"pre.SON","Bias",-0.0373754247128252,NA,NA,126.6,40.9667,"SON","pre",NA,"NCEP2","gts"
"15244",4146,22,"avg_temp.ANN","Bias",0.0014686348505991,NA,NA,128.15,40.8167,"ANN","avg_temp",NA,"NCEP2","gts"
"16554",3747,22,"avg_temp.DJF","Bias",0.381778979224653,NA,NA,128.15,40.8167,"DJF","avg_temp",NA,"CRU","gts"
"15224",3946,22,"avg_temp.JJA","Bias",0.660763288250249,NA,NA,128.15,40.8167,"JJA","avg_temp",NA,"NCEP2","gts"
"16564",3847,22,"avg_temp.MAM","Bias",0.947977439062031,NA,NA,128.15,40.8167,"MAM","avg_temp",NA,"CRU","gts"
"16584",4047,22,"avg_temp.SON","Bias",0.373951056475116,NA,NA,128.15,40.8167,"SON","avg_temp",NA,"CRU","gts"
"15249",4196,22,"pre.ANN","Bias",-0.148899064853881,NA,NA,128.15,40.8167,"ANN","pre",NA,"NCEP2","gts"
"16559",3797,22,"pre.DJF","Bias",-0.0299596304568133,NA,NA,128.15,40.8167,"DJF","pre",NA,"CRU","gts"
"13879",3995,22,"pre.JJA","Bias",-0.169408513399029,NA,NA,128.15,40.8167,"JJA","pre",NA,"JRA55","gts"
"15219",3896,22,"pre.MAM","Bias",-0.100653988305394,NA,NA,128.15,40.8167,"MAM","pre",NA,"NCEP2","gts"
"15239",4096,22,"pre.SON","Bias",-0.153132685366206,NA,NA,128.15,40.8167,"SON","pre",NA,"NCEP2","gts"
"15294",4746,25,"avg_temp.ANN","Bias",-1.55167457985639,NA,NA,129.2,40.6667,"ANN","avg_temp",NA,"NCEP2","gts"
"12554",4344,25,"avg_temp.DJF","Bias",0.934910259035049,NA,NA,129.2,40.6667,"DJF","avg_temp",NA,"ERA5","gts"
"15274",4546,25,"avg_temp.JJA","Bias",-1.15845516077859,NA,NA,129.2,40.6667,"JJA","avg_temp",NA,"NCEP2","gts"
"15264",4446,25,"avg_temp.MAM","Bias",-0.985659151954244,NA,NA,129.2,40.6667,"MAM","avg_temp",NA,"NCEP2","gts"
"12584",4644,25,"avg_temp.SON","Bias",1.52005681435073,NA,NA,129.2,40.6667,"SON","avg_temp",NA,"ERA5","gts"
"13949",4795,25,"pre.ANN","Bias",-0.449175175300282,NA,NA,129.2,40.6667,"ANN","pre",NA,"JRA55","gts"
"16609",4397,25,"pre.DJF","Bias",-0.0215987714424907,NA,NA,129.2,40.6667,"DJF","pre",NA,"CRU","gts"
"13929",4595,25,"pre.JJA","Bias",-0.319925145096554,NA,NA,129.2,40.6667,"JJA","pre",NA,"JRA55","gts"
"15269",4496,25,"pre.MAM","Bias",-0.282806188938878,NA,NA,129.2,40.6667,"MAM","pre",NA,"NCEP2","gts"
"13939",4695,25,"pre.SON","Bias",-0.387448694916691,NA,NA,129.2,40.6667,"SON","pre",NA,"JRA55","gts"
"12644",5344,28,"avg_temp.ANN","Bias",1.5427962238697,NA,NA,124.9333,40.45,"ANN","avg_temp",NA,"ERA5","gts"
"12604",4944,28,"avg_temp.DJF","Bias",1.46004162139851,NA,NA,124.9333,40.45,"DJF","avg_temp",NA,"ERA5","gts"
"15324",5146,28,"avg_temp.JJA","Bias",1.56030936236692,NA,NA,124.9333,40.45,"JJA","avg_temp",NA,"NCEP2","gts"
"12614",5044,28,"avg_temp.MAM","Bias",1.76275018938387,NA,NA,124.9333,40.45,"MAM","avg_temp",NA,"ERA5","gts"
"15334",5246,28,"avg_temp.SON","Bias",1.19175328827023,NA,NA,124.9333,40.45,"SON","avg_temp",NA,"NCEP2","gts"
"15349",5396,28,"pre.ANN","Bias",0.12273501017484,NA,NA,124.9333,40.45,"ANN","pre",NA,"NCEP2","gts"
"15309",4996,28,"pre.DJF","Bias",0.0161477125675022,NA,NA,124.9333,40.45,"DJF","pre",NA,"NCEP2","gts"
"15329",5196,28,"pre.JJA","Bias",0.154450230571774,NA,NA,124.9333,40.45,"JJA","pre",NA,"NCEP2","gts"
"15319",5096,28,"pre.MAM","Bias",0.160256094548199,NA,NA,124.9333,40.45,"MAM","pre",NA,"NCEP2","gts"
"15339",5296,28,"pre.SON","Bias",0.112706207832083,NA,NA,124.9333,40.45,"SON","pre",NA,"NCEP2","gts"
"14044",5945,31,"avg_temp.ANN","Bias",-0.245919697016652,NA,NA,127.25,40.3667,"ANN","avg_temp",NA,"JRA55","gts"
"14004",5545,31,"avg_temp.DJF","Bias",-0.969972383563388,NA,NA,127.25,40.3667,"DJF","avg_temp",NA,"JRA55","gts"
"12674",5744,31,"avg_temp.JJA","Bias",0.217783259399563,NA,NA,127.25,40.3667,"JJA","avg_temp",NA,"ERA5","gts"
"16714",5647,31,"avg_temp.MAM","Bias",-0.255782952377509,NA,NA,127.25,40.3667,"MAM","avg_temp",NA,"CRU","gts"
"14034",5845,31,"avg_temp.SON","Bias",-0.0774338402609292,NA,NA,127.25,40.3667,"SON","avg_temp",NA,"JRA55","gts"
"14049",5995,31,"pre.ANN","Bias",-0.36549081018438,NA,NA,127.25,40.3667,"ANN","pre",NA,"JRA55","gts"
"15359",5596,31,"pre.DJF","Bias",-0.0136619157989812,NA,NA,127.25,40.3667,"DJF","pre",NA,"NCEP2","gts"
"14029",5795,31,"pre.JJA","Bias",0.594301201304981,NA,NA,127.25,40.3667,"JJA","pre",NA,"JRA55","gts"
"15369",5696,31,"pre.MAM","Bias",0.199189541417006,NA,NA,127.25,40.3667,"MAM","pre",NA,"NCEP2","gts"
"15389",5896,31,"pre.SON","Bias",0.263895393938133,NA,NA,127.25,40.3667,"SON","pre",NA,"NCEP2","gts"
"12744",6544,35,"avg_temp.ANN","Bias",0.667126568043817,NA,NA,124.3833,40.1,"ANN","avg_temp",NA,"ERA5","gts"
"16754",6147,35,"avg_temp.DJF","Bias",1.41245830914496,NA,NA,124.3833,40.1,"DJF","avg_temp",NA,"CRU","gts"
"12724",6344,35,"avg_temp.JJA","Bias",0.250148237161989,NA,NA,124.3833,40.1,"JJA","avg_temp",NA,"ERA5","gts"
"12714",6244,35,"avg_temp.MAM","Bias",0.442567293789062,NA,NA,124.3833,40.1,"MAM","avg_temp",NA,"ERA5","gts"
"12734",6444,35,"avg_temp.SON","Bias",0.583247532077455,NA,NA,124.3833,40.1,"SON","avg_temp",NA,"ERA5","gts"
"16799",6597,35,"pre.ANN","Bias",0.140390819376646,NA,NA,124.3833,40.1,"ANN","pre",NA,"CRU","gts"
"16759",6197,35,"pre.DJF","Bias",0.0568942936726513,NA,NA,124.3833,40.1,"DJF","pre",NA,"CRU","gts"
"12729",6394,35,"pre.JJA","Bias",-0.0908997116599579,NA,NA,124.3833,40.1,"JJA","pre",NA,"ERA5","gts"
"16769",6297,35,"pre.MAM","Bias",-0.0477643462494002,NA,NA,124.3833,40.1,"MAM","pre",NA,"CRU","gts"
"16789",6497,35,"pre.SON","Bias",0.162733233742102,NA,NA,124.3833,40.1,"SON","pre",NA,"CRU","gts"
"16844",7147,37,"avg_temp.ANN","Bias",0.103351432684091,NA,NA,125.25,39.9833,"ANN","avg_temp",NA,"CRU","gts"
"16804",6747,37,"avg_temp.DJF","Bias",0.62607653614474,NA,NA,125.25,39.9833,"DJF","avg_temp",NA,"CRU","gts"
"16824",6947,37,"avg_temp.JJA","Bias",-0.214311645270396,NA,NA,125.25,39.9833,"JJA","avg_temp",NA,"CRU","gts"
"16814",6847,37,"avg_temp.MAM","Bias",-0.15156771224587,NA,NA,125.25,39.9833,"MAM","avg_temp",NA,"CRU","gts"
"16834",7047,37,"avg_temp.SON","Bias",0.166084092283321,NA,NA,125.25,39.9833,"SON","avg_temp",NA,"CRU","gts"
"15499",7196,37,"pre.ANN","Bias",-0.262605340493246,NA,NA,125.25,39.9833,"ANN","pre",NA,"NCEP2","gts"
"15459",6796,37,"pre.DJF","Bias",-0.0728904178612201,NA,NA,125.25,39.9833,"DJF","pre",NA,"NCEP2","gts"
"15479",6996,37,"pre.JJA","Bias",-0.786629252830945,NA,NA,125.25,39.9833,"JJA","pre",NA,"NCEP2","gts"
"15469",6896,37,"pre.MAM","Bias",-0.0636642831398926,NA,NA,125.25,39.9833,"MAM","pre",NA,"NCEP2","gts"
"15489",7096,37,"pre.SON","Bias",-0.0485242699880395,NA,NA,125.25,39.9833,"SON","pre",NA,"NCEP2","gts"
"12844",7744,39,"avg_temp.ANN","Bias",0.167950966599858,NA,NA,126.25,40.1667,"ANN","avg_temp",NA,"ERA5","gts"
"12804",7344,39,"avg_temp.DJF","Bias",0.00687644951696356,NA,NA,126.25,40.1667,"DJF","avg_temp",NA,"ERA5","gts"
"12824",7544,39,"avg_temp.JJA","Bias",0.267155674792499,NA,NA,126.25,40.1667,"JJA","avg_temp",NA,"ERA5","gts"
"12814",7444,39,"avg_temp.MAM","Bias",0.390393638425504,NA,NA,126.25,40.1667,"MAM","avg_temp",NA,"ERA5","gts"
"12834",7644,39,"avg_temp.SON","Bias",-0.0289459068974508,NA,NA,126.25,40.1667,"SON","avg_temp",NA,"ERA5","gts"
"12849",7794,39,"pre.ANN","Bias",0.0173863100820769,NA,NA,126.25,40.1667,"ANN","pre",NA,"ERA5","gts"
"16859",7397,39,"pre.DJF","Bias",0.0358912974983398,NA,NA,126.25,40.1667,"DJF","pre",NA,"CRU","gts"
"12829",7594,39,"pre.JJA","Bias",0.314879220415944,NA,NA,126.25,40.1667,"JJA","pre",NA,"ERA5","gts"
"14169",7495,39,"pre.MAM","Bias",-0.104996320524902,NA,NA,126.25,40.1667,"MAM","pre",NA,"JRA55","gts"
"12839",7694,39,"pre.SON","Bias",0.0498858834397439,NA,NA,126.25,40.1667,"SON","pre",NA,"ERA5","gts"
"16944",8347,41,"avg_temp.ANN","Bias",0.412200305826923,NA,NA,127.55,39.9333,"ANN","avg_temp",NA,"CRU","gts"
"16904",7947,41,"avg_temp.DJF","Bias",0.952672074900977,NA,NA,127.55,39.9333,"DJF","avg_temp",NA,"CRU","gts"
"16924",8147,41,"avg_temp.JJA","Bias",0.266346441465955,NA,NA,127.55,39.9333,"JJA","avg_temp",NA,"CRU","gts"
"16914",8047,41,"avg_temp.MAM","Bias",0.562368830300107,NA,NA,127.55,39.9333,"MAM","avg_temp",NA,"CRU","gts"
"16934",8247,41,"avg_temp.SON","Bias",-0.0598482214254631,NA,NA,127.55,39.9333,"SON","avg_temp",NA,"CRU","gts"
"14249",8395,41,"pre.ANN","Bias",-0.0578973442013581,NA,NA,127.55,39.9333,"ANN","pre",NA,"JRA55","gts"
"16909",7997,41,"pre.DJF","Bias",0.0486325626085406,NA,NA,127.55,39.9333,"DJF","pre",NA,"CRU","gts"
"12879",8194,41,"pre.JJA","Bias",-0.0498415189268428,NA,NA,127.55,39.9333,"JJA","pre",NA,"ERA5","gts"
"16919",8097,41,"pre.MAM","Bias",0.134366711179871,NA,NA,127.55,39.9333,"MAM","pre",NA,"CRU","gts"
"16939",8297,41,"pre.SON","Bias",0.0370429207444307,NA,NA,127.55,39.9333,"SON","pre",NA,"CRU","gts"
"12944",8944,46,"avg_temp.ANN","Bias",1.39578125019979,NA,NA,128.1833,40.0333,"ANN","avg_temp",NA,"ERA5","gts"
"12904",8544,46,"avg_temp.DJF","Bias",1.76169721554319,NA,NA,128.1833,40.0333,"DJF","avg_temp",NA,"ERA5","gts"
"15624",8746,46,"avg_temp.JJA","Bias",1.27123092130818,NA,NA,128.1833,40.0333,"JJA","avg_temp",NA,"NCEP2","gts"
"12914",8644,46,"avg_temp.MAM","Bias",1.15554070316103,NA,NA,128.1833,40.0333,"MAM","avg_temp",NA,"ERA5","gts"
"12934",8844,46,"avg_temp.SON","Bias",1.16185773157027,NA,NA,128.1833,40.0333,"SON","avg_temp",NA,"ERA5","gts"
"14299",8995,46,"pre.ANN","Bias",0.0166461038961845,NA,NA,128.1833,40.0333,"ANN","pre",NA,"JRA55","gts"
"16959",8597,46,"pre.DJF","Bias",0.0969394655658223,NA,NA,128.1833,40.0333,"DJF","pre",NA,"CRU","gts"
"12929",8794,46,"pre.JJA","Bias",-0.276024809671955,NA,NA,128.1833,40.0333,"JJA","pre",NA,"ERA5","gts"
"16969",8697,46,"pre.MAM","Bias",-0.223753594682585,NA,NA,128.1833,40.0333,"MAM","pre",NA,"CRU","gts"
"16989",8897,46,"pre.SON","Bias",0.0241622433322882,NA,NA,128.1833,40.0333,"SON","pre",NA,"CRU","gts"
"12994",9544,50,"avg_temp.ANN","Bias",-0.288662849267585,NA,NA,125.65,39.6167,"ANN","avg_temp",NA,"ERA5","gts"
"12954",9144,50,"avg_temp.DJF","Bias",-1.30679770772651,NA,NA,125.65,39.6167,"DJF","avg_temp",NA,"ERA5","gts"
"17024",9347,50,"avg_temp.JJA","Bias",0.17684135116301,NA,NA,125.65,39.6167,"JJA","avg_temp",NA,"CRU","gts"
"14314",9245,50,"avg_temp.MAM","Bias",0.172436174679954,NA,NA,125.65,39.6167,"MAM","avg_temp",NA,"JRA55","gts"
"12984",9444,50,"avg_temp.SON","Bias",-1.21139530273187,NA,NA,125.65,39.6167,"SON","avg_temp",NA,"ERA5","gts"
"15699",9596,50,"pre.ANN","Bias",-0.220578649324038,NA,NA,125.65,39.6167,"ANN","pre",NA,"NCEP2","gts"
"15659",9196,50,"pre.DJF","Bias",0.168265700760255,NA,NA,125.65,39.6167,"DJF","pre",NA,"NCEP2","gts"
"14329",9395,50,"pre.JJA","Bias",-0.289201319491114,NA,NA,125.65,39.6167,"JJA","pre",NA,"JRA55","gts"
"15669",9296,50,"pre.MAM","Bias",-0.13576262748658,NA,NA,125.65,39.6167,"MAM","pre",NA,"NCEP2","gts"
"15689",9496,50,"pre.SON","Bias",0.19199573789176,NA,NA,125.65,39.6167,"SON","pre",NA,"NCEP2","gts"
"14394",10145,52,"avg_temp.ANN","Bias",-0.219049172936711,NA,NA,126.8333,39.1667,"ANN","avg_temp",NA,"JRA55","gts"
"14354",9745,52,"avg_temp.DJF","Bias",-0.264988110869602,NA,NA,126.8333,39.1667,"DJF","avg_temp",NA,"JRA55","gts"
"17074",9947,52,"avg_temp.JJA","Bias",0.0532763969645602,NA,NA,126.8333,39.1667,"JJA","avg_temp",NA,"CRU","gts"
"14364",9845,52,"avg_temp.MAM","Bias",-0.288825733716011,NA,NA,126.8333,39.1667,"MAM","avg_temp",NA,"JRA55","gts"
"14384",10045,52,"avg_temp.SON","Bias",-0.192078304911749,NA,NA,126.8333,39.1667,"SON","avg_temp",NA,"JRA55","gts"
"17099",10197,52,"pre.ANN","Bias",0.184067112952843,NA,NA,126.8333,39.1667,"ANN","pre",NA,"CRU","gts"
"15709",9796,52,"pre.DJF","Bias",0.0277555577387968,NA,NA,126.8333,39.1667,"DJF","pre",NA,"NCEP2","gts"
"17079",9997,52,"pre.JJA","Bias",0.798612347399465,NA,NA,126.8333,39.1667,"JJA","pre",NA,"CRU","gts"
"17069",9897,52,"pre.MAM","Bias",-0.0953275733330032,NA,NA,126.8333,39.1667,"MAM","pre",NA,"CRU","gts"
"17089",10097,52,"pre.SON","Bias",-0.0811011966063563,NA,NA,126.8333,39.1667,"SON","pre",NA,"CRU","gts"
"15794",10746,55,"avg_temp.ANN","Bias",-0.0935325983073386,NA,NA,127.4333,39.1833,"ANN","avg_temp",NA,"NCEP2","gts"
"15754",10346,55,"avg_temp.DJF","Bias",0.136266137900644,NA,NA,127.4333,39.1833,"DJF","avg_temp",NA,"NCEP2","gts"
"15774",10546,55,"avg_temp.JJA","Bias",0.0895875615928699,NA,NA,127.4333,39.1833,"JJA","avg_temp",NA,"NCEP2","gts"
"15764",10446,55,"avg_temp.MAM","Bias",0.0785500928227461,NA,NA,127.4333,39.1833,"MAM","avg_temp",NA,"NCEP2","gts"
"13084",10644,55,"avg_temp.SON","Bias",0.136321037239341,NA,NA,127.4333,39.1833,"SON","avg_temp",NA,"ERA5","gts"
"14449",10795,55,"pre.ANN","Bias",-0.211100314323487,NA,NA,127.4333,39.1833,"ANN","pre",NA,"JRA55","gts"
"17109",10397,55,"pre.DJF","Bias",0.0190931805860083,NA,NA,127.4333,39.1833,"DJF","pre",NA,"CRU","gts"
"14429",10595,55,"pre.JJA","Bias",-0.23520658215901,NA,NA,127.4333,39.1833,"JJA","pre",NA,"JRA55","gts"
"14419",10495,55,"pre.MAM","Bias",-0.357636390825355,NA,NA,127.4333,39.1833,"MAM","pre",NA,"JRA55","gts"
"14439",10695,55,"pre.SON","Bias",-0.186260279383934,NA,NA,127.4333,39.1833,"SON","pre",NA,"JRA55","gts"
"13144",11344,58,"avg_temp.ANN","Bias",0.701769006273978,NA,NA,125.7833,39.0333,"ANN","avg_temp",NA,"ERA5","gts"
"13104",10944,58,"avg_temp.DJF","Bias",0.825440077631235,NA,NA,125.7833,39.0333,"DJF","avg_temp",NA,"ERA5","gts"
"13124",11144,58,"avg_temp.JJA","Bias",0.338547334151836,NA,NA,125.7833,39.0333,"JJA","avg_temp",NA,"ERA5","gts"
"13114",11044,58,"avg_temp.MAM","Bias",1.58590494341577,NA,NA,125.7833,39.0333,"MAM","avg_temp",NA,"ERA5","gts"
"13134",11244,58,"avg_temp.SON","Bias",0.0928501673548185,NA,NA,125.7833,39.0333,"SON","avg_temp",NA,"ERA5","gts"
"13149",11394,58,"pre.ANN","Bias",-0.0150398660774884,NA,NA,125.7833,39.0333,"ANN","pre",NA,"ERA5","gts"
"14459",10995,58,"pre.DJF","Bias",0.00237073323396623,NA,NA,125.7833,39.0333,"DJF","pre",NA,"JRA55","gts"
"17179",11197,58,"pre.JJA","Bias",0.350809281897767,NA,NA,125.7833,39.0333,"JJA","pre",NA,"CRU","gts"
"14469",11095,58,"pre.MAM","Bias",0.0445983118622504,NA,NA,125.7833,39.0333,"MAM","pre",NA,"JRA55","gts"
"13139",11294,58,"pre.SON","Bias",0.250201413990913,NA,NA,125.7833,39.0333,"SON","pre",NA,"ERA5","gts"
"13194",11944,60,"avg_temp.ANN","Bias",-0.289496783946038,NA,NA,125.3667,38.7167,"ANN","avg_temp",NA,"ERA5","gts"
"13154",11544,60,"avg_temp.DJF","Bias",-0.473592611003538,NA,NA,125.3667,38.7167,"DJF","avg_temp",NA,"ERA5","gts"
"17224",11747,60,"avg_temp.JJA","Bias",0.229481767279424,NA,NA,125.3667,38.7167,"JJA","avg_temp",NA,"CRU","gts"
"13164",11644,60,"avg_temp.MAM","Bias",-0.251748112371908,NA,NA,125.3667,38.7167,"MAM","avg_temp",NA,"ERA5","gts"
"13184",11844,60,"avg_temp.SON","Bias",-0.237302841918133,NA,NA,125.3667,38.7167,"SON","avg_temp",NA,"ERA5","gts"
"17249",11997,60,"pre.ANN","Bias",-0.0845354823867041,NA,NA,125.3667,38.7167,"ANN","pre",NA,"CRU","gts"
"17209",11597,60,"pre.DJF","Bias",-0.00209591289727214,NA,NA,125.3667,38.7167,"DJF","pre",NA,"CRU","gts"
"17229",11797,60,"pre.JJA","Bias",-0.0285649705816151,NA,NA,125.3667,38.7167,"JJA","pre",NA,"CRU","gts"
"17219",11697,60,"pre.MAM","Bias",-0.0879043695144471,NA,NA,125.3667,38.7167,"MAM","pre",NA,"CRU","gts"
"14539",11895,60,"pre.SON","Bias",-0.0853533543388156,NA,NA,125.3667,38.7167,"SON","pre",NA,"JRA55","gts"
"14594",12545,61,"avg_temp.ANN","Bias",-0.190460772701686,NA,NA,128.1833,38.7333,"ANN","avg_temp",NA,"JRA55","gts"
"14554",12145,61,"avg_temp.DJF","Bias",-0.374007293273669,NA,NA,128.1833,38.7333,"DJF","avg_temp",NA,"JRA55","gts"
